date|year|month|day|weekday|eng_name|eng_type|heb_name|heb_type|is_bank_holiday
2030-10-16|2030|10|16|Wednesday|Sukkot (Day 5)|Observance, Hebrew|חול המועד סוכות (4)|חגים דתיים|0
2030-10-17|2030|10|17|Thursday|Sukkot (Day 6)|Observance, Hebrew|חול המועד סוכות (5)|חגים דתיים|0
2030-10-18|2030|10|18|Friday|Sukkot (Day 7) / Hoshanah Rabah|Observance, Hebrew|ערב שמחת תורה|חגים דתיים|0
2030-10-19|2030|10|19|Saturday|Shemini Atzeret / Simchat Torah|National holiday, Hebrew|שמחת תורה|חגים דתיים|1
2030-12-21|2030|12|21|Saturday|Hanukkah (Day 1)|Observance, Hebrew|חנוכה (1)|חגים דתיים|0
2030-12-22|2030|12|22|Sunday|Hanukkah (Day 2)|Observance, Hebrew|חנוכה (2)|חגים דתיים|0
2030-12-23|2030|12|23|Monday|Hanukkah (Day 3)|Observance, Hebrew|חנוכה (3)|חגים דתיים|0
2030-12-24|2030|12|24|Tuesday|Hanukkah (Day 4)|Observance, Hebrew|חנוכה (4)|חגים דתיים|0
2030-12-25|2030|12|25|Wednesday|Hanukkah (Day 5)|Observance, Hebrew|חנוכה (5)|חגים דתיים|0
2030-12-26|2030|12|26|Thursday|Hanukkah (Day 6) / Rosh Chodesh Tevet|Observance, Hebrew|חנוכה (6)|חגים דתיים|0
2030-12-27|2030|12|27|Friday|Hanukkah (Day 7)|Observance, Hebrew|חנוכה (7)|חגים דתיים|0
2030-12-28|2030|12|28|Saturday|Hanukkah (Day 8)|Observance, Hebrew|חנוכה (8)|חגים דתיים|0
